# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	15370
#@/user_id	18d226a2-3005-45e4-94cb-81c4e0a458f1
ci 	词	c=1 d=0.213312 t=15370
ci dian 	词典	c=2 d=0.904837 t=15370
ci shi 	此时	c=20 d=2.95476 t=15370
ci shu 	次数	c=6 d=0.426724 t=15370
ci yao 	次要	c=1 d=0.271173 t=15370
cong 	从	c=16 d=0.710393 t=15370
cong er 	从而	c=9 d=1.25779 t=15370
cong na li 	从哪里	c=1 d=0.127454 t=15370
cong qian 	从前	c=0 d=0.0307279 t=15370
cong qian wan hou 	从前完后	c=1 d=0.308819 t=15370
cong qian wang hou 	从前往后	c=3 d=1.35296 t=15370
cong xiao 	从小	c=1 d=0.0147723 t=15370
cong xiao dao da 	从小到大	c=1 d=0.0140519 t=15370
cu 	粗	c=1 d=0.000300519 t=15370
cu fa 	促发	c=1 d=0.000128446 t=15370
cun 	村	c=0 d=0.011475 t=15370
cun chu 	存储	c=10 d=0.496585 t=15370
cun huo 	存活	c=2 d=0.558858 t=15370
cun zai 	存在	c=7 d=0.947139 t=15370
cuo 	错	c=2 d=0.744531 t=15370
cuo bie zi 	错别字	c=1 d=0.436049 t=15370
cuo le 	错了	c=1 d=1 t=13659
cuo shi 	措施	c=2 d=0.232236 t=15370
cuo wu 	错误	c=13 d=1.40252 t=15370
da 	大	c=8 d=1.37464 t=15370
da 	打	c=7 d=1.36824 t=15370
da an 	答案	c=5 d=0.674134 t=15370
da biao 	大表	c=1 d=0.07502 t=15370
da bing 	大兵	c=1 d=0.985112 t=15370
da bu fen 	大部分	c=3 d=0.202909 t=15370
da chu 	打出	c=2 d=0.672734 t=15370
da da jiang di 	大大降低	c=1 d=0.00873865 t=15370
da dao 	达到	c=4 d=0.343008 t=15370
da dao xiao 	大到小	c=1 d=0.0146986 t=15370
da dian hua 	打电话	c=1 d=0.000319102 t=15370
da duan 	打断	c=2 d=6.7646e-06 t=15370
da duo shu 	大多数	c=1 d=1 t=15115
da fu 	大幅	c=1 d=0.0871609 t=15370
da fu du 	大幅度	c=1 d=0.114178 t=15370
da ka 	打卡	c=2 d=0.0133178 t=15370
da kai 	打开	c=19 d=1.31816 t=15370
da lao 	大佬	c=1 d=1 t=13168
da liang 	大量	c=2 d=0.289384 t=15370
da lu 	大陆	c=0 d=0.1 t=12164
da nao 	大脑	c=1 d=0.341298 t=15370
da pei 	搭配	c=2 d=0.00587878 t=15370
da rao 	打扰	c=1 d=1 t=12042
da ti 	答题	c=1 d=5.27562e-07 t=15370
da wen ti 	大问题	c=1 d=0.786628 t=15370
da xiao 	大小	c=3 d=5.66309e-06 t=15370
da xing 	大型	c=1 d=0.744532 t=15370
da xue sheng 	大学生	c=1 d=0.167797 t=15370
da yin 	打印	c=5 d=1.11762 t=15370
da yu 	大于	c=16 d=1.99939 t=15370
da yue 	大约	c=6 d=0.215082 t=15370
da zhe 	打折	c=1 d=1 t=14305
da zhi 	打制	c=1 d=0.891366 t=15370
da zi 	打字	c=4 d=0.895834 t=15370
dai biao 	代表	c=5 d=2.63438 t=15370
dai huo 	带货	c=1 d=0.715338 t=15370
dai jia 	代价	c=1 d=2.82335e-05 t=15370
dai kai fa 	待开发	c=3 d=0.0956537 t=15370
dai li 	代理	c=13 d=0.879546 t=15370
dai ma 	代码	c=70 d=2.81816 t=15370
dai ma kuai 	代码块	c=5 d=0.311412 t=15370
dai pi 	待批	c=1 d=1 t=12161
dai zai 	待在	c=1 d=0.683861 t=15370
dan 	但	c=5 d=0.658256 t=15370
dan biao 	单表	c=1 d=0.137381 t=15370
dan bu 	但不	c=0 d=0.1 t=13247
dan bu bao han 	但不包含	c=1 d=1 t=13248
dan bu neng 	但不能	c=1 d=1 t=12868
dan chun 	单纯	c=1 d=0.00914087 t=15370
dan ci 	单词	c=1 d=1 t=11687
dan dan de 	淡淡的	c=5 d=0.496585 t=15370
dan diao 	单调	c=1 d=0.362402 t=15370
dan ge 	单个	c=1 d=0.138069 t=15370
dan ji 	单击	c=1 d=1 t=12716
dan li 	但离	c=1 d=0.0244775 t=15370
dan li mo shi 	单例模式	c=4 d=0.229191 t=15370
dan shi 	但是	c=94 d=2.56139 t=15370
dan wei 	单位	c=4 d=0.650509 t=15370
dan xian cheng 	单线程	c=4 d=0.431991 t=15370
dan xiang 	单向	c=1 d=0.000241172 t=15370
dan yi 	单一	c=2 d=0.196912 t=15370
dan yuan 	单元	c=3 d=0.411237 t=15370
dang 	当	c=7 d=0.596573 t=15370
dang ni 	当你	c=1 d=1 t=14703
dang qian 	当前	c=28 d=1.88406 t=15370
dang ran 	当然	c=1 d=0.882497 t=15370
dang xia 	当下	c=1 d=0.955997 t=15370
dang zuo 	当作	c=0 d=0.0276651 t=15370
dang zuo wei 	当作为	c=1 d=0.278037 t=15370
dao 	到	c=54 d=2.3079 t=15370
dao chu 	导出	c=1 d=1 t=14677
dao da 	到大	c=1 d=0.0148464 t=15370
dao hang 	导航	c=2 d=1.92774 t=14370
dao ru 	导入	c=1 d=1 t=13908
dao shi 	倒是	c=1 d=1 t=12012
dao zhi 	导致	c=24 d=1.86566 t=15370
de 	地	c=5 d=1.51278 t=15370
de 	得	c=2 d=0.722527 t=15370
de 	的	c=753 d=20.186 t=15370
de dao 	得到	c=1 d=0.585669 t=15370
deng 	等	c=40 d=5.5079 t=15370
deng bu jin qu 	登不进去	c=1 d=1 t=14081
deng dai 	等待	c=26 d=0.987804 t=15370
deng deng 	等等	c=1 d=0.246597 t=15370
deng ge 	等个	c=1 d=1 t=11683
deng hao 	等号	c=1 d=1.17108e-05 t=15370
deng ji 	等级	c=1 d=0.740818 t=15370
deng jia 	等价	c=1 d=0.000649051 t=15370
deng jia lei 	等价类	c=1 d=0.144424 t=15370
deng lu 	登录	c=10 d=9.27641e-05 t=15370
deng yu 	等于	c=17 d=3.56605 t=15370
di 	低	c=3 d=0.0224829 t=15370
di 	弟	c=1 d=0.215456 t=15370
di 	第	c=7 d=0.455845 t=15370
di an men 	地安门	c=2 d=3.80194e-06 t=15370
di dian 	地点	c=3 d=0.54139 t=15370
di er ci 	第二次	c=1 d=1.55376e-08 t=15370
di er fu tu 	第二幅图	c=2 d=1.90032 t=11906
di er ge 	第二个	c=2 d=0.0742736 t=15370
di fang 	地方	c=8 d=0.982557 t=15370
di gui 	递归	c=4 d=1.77643 t=12533
di ji ge 	第几个	c=2 d=1.94649 t=12306
di jian 	递减	c=1 d=0.0593087 t=15370
di qu 	地区	c=2 d=1.74082 t=14304
di yi ci 	第一次	c=2 d=2.92715e-08 t=15370
di yi fu 	第一副	c=1 d=1 t=11881
di yi ge 	第一个	c=5 d=0.236928 t=15370
di yu 	地域	c=1 d=5.17203e-09 t=15370
di zhi 	地址	c=16 d=0.694197 t=15370
dian 	点	c=12 d=0.942326 t=15370
dian bao 	电报	c=3 d=0.185214 t=15370
dian ge zan 	点个赞	c=1 d=1 t=12435
dian hua 	电话	c=2 d=0.000687945 t=15370
dian ji 	点击	c=22 d=3.00995 t=15370
dian nao 	电脑	c=7 d=0.976497 t=15370
dian xin 	电信	c=2 d=1.02497 t=13890
dian yuan 	电源	c=1 d=0.932394 t=15370
dian zi 	电子	c=1 d=1 t=15308
diao 	掉	c=5 d=0.88692 t=15370
diao du 	调度	c=2 d=0.66034 t=15370
diao yong 	调用	c=18 d=0.833647 t=15370
die dai 	迭代	c=6 d=2.36945 t=15370
die dai shi 	迭代式	c=1 d=0.018043 t=15370
ding 	定	c=1 d=0.0590129 t=15370
ding duo 	顶多	c=1 d=1 t=13022
ding ge 	顶格	c=1 d=0.60653 t=15370
ding shi 	定时	c=2 d=1.50543 t=15370
ding shi qi 	定时器	c=3 d=5.95081e-05 t=15370
ding wei 	定位	c=3 d=1.04668 t=15370
ding yi 	定义	c=6 d=0.742556 t=15370
ding yue 	订阅	c=0 d=0.1 t=13029
diu qi 	丢弃	c=1 d=1.07843e-06 t=15370
diu shi 	丢失	c=2 d=0.289384 t=15370
dong hua 	动画	c=1 d=0.843665 t=15370
dong man 	动漫	c=1 d=1 t=15281
dong tai 	动态	c=4 d=0.037093 t=15370
dong tai ce shi 	动态测试	c=1 d=0.017953 t=15370
dong xi 	东西	c=3 d=0.359433 t=15370
dong zuo 	动作	c=1 d=0.960789 t=15370
dou 	都	c=21 d=1.0182 t=15370
dou bu neng 	都不能	c=2 d=0.0837432 t=15370
dou hui 	都会	c=4 d=0.238115 t=15370
dou ke yi 	都可以	c=7 d=0.595882 t=15370
dou mei you 	都没有	c=1 d=1 t=13589
dou shi 	都是	c=21 d=1.4335 t=15370
dou xu 	都需	c=1 d=1 t=14369
dou xu yao 	都需要	c=2 d=0.591555 t=15370
dou yao 	都要	c=2 d=0.394554 t=15370
dou ying gai 	都应该	c=1 d=1 t=13502
dou zai 	都在	c=2 d=0.000561443 t=15370
du 	度	c=3 d=1.46972 t=15370
du 	读	c=7 d=1.07963 t=15370
du li 	独立	c=1 d=0.722527 t=15370
du qu 	读取	c=12 d=2.58183 t=15370
du qu dao 	读取到	c=2 d=0.744616 t=15370
du ti mu 	读题目	c=1 d=0.26054 t=15370
