# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	15370
#@/user_id	18d226a2-3005-45e4-94cb-81c4e0a458f1
yi dian 	一点	c=3 d=1.05706 t=15038
yi dian dian 	一点点	c=1 d=1 t=15325
yi ding 	一定	c=18 d=0.920992 t=15370
yi dong 	移动	c=22 d=4.45887 t=15370
yi dong duan 	移动端	c=1 d=0.124307 t=15370
yi dong ka 	移动卡	c=1 d=0.126186 t=15370
yi du 	一读	c=0 d=4.17004e-06 t=15370
yi du yi xie 	一读一写	c=1 d=4.19094e-05 t=15370
yi duan shi jian 	一段时间	c=1 d=0.56836 t=15370
yi dui yi 	一对一	c=1 d=0.13332 t=15370
yi fen 	一份	c=3 d=0.980697 t=15370
yi ge 	一个	c=97 d=3.58968 t=15370
yi ge ci 	一个词	c=1 d=0.224249 t=15370
yi ge yi ge 	一个一个	c=2 d=0.499074 t=15370
yi guo qu 	移过去	c=1 d=1 t=11849
yi hang 	一行	c=6 d=0.523521 t=15370
yi hou 	以后	c=1 d=1 t=13307
yi ji 	一级	c=2 d=0.392586 t=15370
yi ji 	以及	c=3 d=0.127454 t=15370
yi jing 	已经	c=42 d=2.86398 t=15370
yi lai 	依赖	c=1 d=0.00366107 t=15370
yi lu 	一路	c=1 d=0.302704 t=15370
yi lun 	一轮	c=1 d=1 t=14996
yi man 	已满	c=1 d=0.208045 t=15370
yi mian 	以免	c=1 d=6.90969e-05 t=15370
yi mo yi yang 	一模一样	c=1 d=0.527292 t=15370
yi nei 	以内	c=1 d=1 t=11941
yi nian 	一年	c=1 d=0.0161635 t=15370
yi nian yi nian 	一年一年	c=1 d=1 t=14272
yi pi 	一批	c=1 d=1 t=11770
yi qi 	一起	c=5 d=1.35929 t=15370
yi qian 	以前	c=5 d=0.00532682 t=15370
yi ran 	依然	c=34 d=2.39409 t=15370
yi shang 	以上	c=2 d=0.140858 t=15370
yi shang shou 	易上手	c=1 d=0.88692 t=15370
yi si 	意思	c=13 d=0.872565 t=15370
yi si shi 	意思是	c=1 d=0.366045 t=15370
yi tai 	一台	c=2 d=0.491644 t=15370
yi ti 	一题	c=1 d=0.0695994 t=15370
yi ti jiao 	已提交	c=1 d=0.197899 t=15370
yi tian 	一天	c=1 d=1 t=13175
yi tiao 	一条	c=1 d=0.251579 t=15370
yi tiao yi tiao 	一跳一跳	c=2 d=0.704688 t=15370
yi tong 	一同	c=1 d=0.554327 t=15370
yi tuo 	一坨	c=1 d=1 t=14680
yi wei 	一位	c=1 d=0.00341356 t=15370
yi wei zhe 	意味着	c=1 d=0.186374 t=15370
yi wen 	疑问	c=4 d=0.559898 t=15370
yi xi lie 	一系列	c=2 d=0.554327 t=15370
yi xia 	一下	c=39 d=4.29637 t=15370
yi xia zi 	一下子	c=1 d=1 t=11844
yi xiao bu fen 	一小部分	c=1 d=0.000350903 t=15370
yi xiao shi 	一小时	c=1 d=1 t=15304
yi xiao tuo 	一小坨	c=1 d=0.453845 t=15370
yi xie 	一些	c=8 d=0.596434 t=15370
yi xie 	一写	c=0 d=4.17004e-06 t=15370
yi yang 	一样	c=18 d=0.980199 t=15370
yi yi 	一一	c=1 d=3.28932e-08 t=15370
yi yong xing 	易用性	c=3 d=1.18941 t=15370
yi yuan 	医院	c=1 d=0.97531 t=15370
yi zhao 	依照	c=2 d=0.283654 t=15370
yi zhi 	一只	c=1 d=1 t=14705
yi zhi 	一直	c=8 d=0.201897 t=15370
yi zhi 	一致	c=6 d=0.594684 t=15370
yi zhi xing 	一致性	c=4 d=0.639534 t=15370
yi zhong 	一种	c=2 d=0.0177743 t=15370
yi zu 	一组	c=1 d=0.151829 t=15370
yin ci 	因此	c=6 d=0.68419 t=15370
yin shi 	隐式	c=2 d=0.699652 t=14169
yin shi deng dai 	隐式等待	c=1 d=1 t=14170
yin su 	因素	c=3 d=8.79275e-08 t=15370
yin wei 	因为	c=43 d=1.62227 t=15370
yin yong 	引用	c=1 d=0.0483156 t=15370
ying 	英	c=0 d=0.011475 t=15370
ying bu ying gai 	应不应该	c=1 d=0.509156 t=15370
ying gai 	应该	c=44 d=2.57324 t=15370
ying jian 	硬件	c=1 d=1 t=12543
ying jie 	迎接	c=1 d=0.97531 t=15370
ying pan 	硬盘	c=1 d=0.261846 t=15370
ying wen 	英文	c=3 d=0.913931 t=15370
ying xiang 	影响	c=7 d=1.55458 t=15370
ying yong 	应用	c=7 d=0.421052 t=15370
ying yong ceng 	应用层	c=2 d=1.72615 t=13353
yong 	用	c=28 d=1.42204 t=15370
yong bao 	拥抱	c=1 d=1 t=15238
yong dao 	用到	c=2 d=0.278037 t=15370
yong hu 	用户	c=30 d=3.84762 t=15370
yong hu ming 	用户名	c=2 d=1.25875e-07 t=15370
yong hu zi liao 	用户资料	c=1 d=0.108609 t=15370
yong kang shi 	永康市	c=1 d=0.650509 t=15370
yong lai 	用来	c=10 d=0.299692 t=15370
yong li 	用例	c=23 d=1.89205 t=15370
yong li pian 	用例篇	c=2 d=0.0139122 t=15370
yong yi gen 	用一根	c=1 d=0.00293808 t=15370
yong yu 	用于	c=10 d=0.477006 t=15370
you 	又	c=3 d=0.0712134 t=15370
you 	右	c=5 d=3.56446 t=15370
you 	有	c=99 d=3.04789 t=15370
you 	由	c=16 d=1.3119 t=15370
you bian 	右边	c=10 d=0.901249 t=15370
you bian jie 	右边界	c=4 d=1.93471 t=15370
you de 	有的	c=3 d=0.828969 t=15370
you dian 	优点	c=2 d=0.501902 t=15370
you dian 	有点	c=8 d=0.715338 t=15370
you duan 	右端	c=0 d=0.0268474 t=15370
you duan dian 	右端点	c=1 d=0.26982 t=15370
you gao dao di 	由高到低	c=1 d=0.283654 t=15370
you ge 	有个	c=2 d=1.72615 t=12018
you guan 	有关	c=3 d=0.136591 t=15370
you hua 	优化	c=22 d=1.92884 t=15370
you hua dian 	优化点	c=1 d=0.364219 t=15370
you hui 	优惠	c=3 d=0.00774401 t=15370
you hui ma 	优惠码	c=1 d=5.09503e-09 t=15370
you jian 	邮件	c=2 d=1.97531 t=13220
you jiao zuo 	又叫作	c=1 d=0.017953 t=15370
you li you ju 	有理有据	c=1 d=0.718924 t=15370
you lian jie 	有连接	c=4 d=3.72189 t=13520
you mei you 	有没有	c=18 d=1.80845 t=15370
you mou xie 	有某些	c=1 d=1 t=13267
you na xie 	有哪些	c=1 d=1 t=14453
you qie 	犹且	c=0 d=0.1 t=12217
you qie zhi you 	犹且只有	c=1 d=1 t=12218
you que dian 	优缺点	c=1 d=0.532592 t=15370
you shang fang 	右上方	c=1 d=0.790571 t=15370
you shen me 	有什么	c=11 d=1.21525 t=15370
you shi 	优势	c=2 d=1.92741 t=15370
you shi hou 	有时候	c=3 d=1 t=15295
you suo 	有锁	c=1 d=0.000145549 t=15370
you wen ti 	有问题	c=3 d=0.68729 t=15370
you xi you chang 	又细又长	c=1 d=0.169483 t=15370
you xian ji 	优先级	c=1 d=0.548812 t=15370
you xian ji dui lie 	优先级队列	c=1 d=0.174645 t=15370
you xiang 	邮箱	c=4 d=0.00164094 t=15370
you xiao 	有效	c=10 d=0.263224 t=15370
you xiao ge shu 	有效个数	c=1 d=0.0154523 t=15370
you xiao qi 	有效期	c=1 d=1 t=14256
you xiao shu ju 	有效数据	c=1 d=0.0169922 t=15370
you xiao zhi 	有效值	c=1 d=0.216536 t=15370
you xie 	有些	c=2 d=1.93961e-06 t=15370
you xiu 	优秀	c=2 d=1.01344 t=15370
you xu 	有序	c=1 d=2.02e-08 t=15370
you xu lie biao 	有序列表	c=1 d=2.03012e-07 t=15370
you xuan 	优选	c=13 d=0.0839672 t=15370
you xuan ding yue 	优选订阅	c=1 d=1 t=13030
you ya 	优雅	c=1 d=1.26883e-07 t=15370
you yi 	右移	c=8 d=0.762432 t=15370
you yi ding 	有一定	c=1 d=1 t=11837
you yi duan 	有一段	c=2 d=1.92312 t=11991
you yi duan shi jian 	有一段时间	c=1 d=1 t=11969
you yi ge 	有一个	c=3 d=0.755784 t=15370
you yi xie 	有一些	c=1 d=1 t=12120
you ying gai 	又应该	c=1 d=0.384812 t=15370
you ying xiang 	有影响	c=1 d=0.594521 t=15370
you you yu 	又由于	c=1 d=1 t=12604
you yu 	由于	c=28 d=2.49335 t=15370
yu 	与	c=117 d=4.29284 t=15370
yu 	于	c=1 d=0.00367942 t=15370
yu ce 	预测	c=1 d=2.3465e-05 t=15370
yu ci 	与此	c=1 d=7.5996e-07 t=15370
yu dao 	遇到	c=1 d=0.153355 t=15370
yu e 	余额	c=1 d=7.26644e-09 t=15370
yu fa 	语法	c=4 d=0.594521 t=15370
yu fa tang 	语法糖	c=3 d=0.253499 t=15370
yu gu 	预估	c=1 d=0.909373 t=15370
yu ju 	语句	c=9 d=1.36483 t=15370
yu ming 	域名	c=9 d=2.13381 t=13994
yu qi 	预期	c=3 d=0.729789 t=15370
yu suan 	预算	c=1 d=0.472367 t=15370
yu xuan 	预选	c=1 d=0.366045 t=15370
yu yan 	语言	c=7 d=0.778054 t=15370
yuan 	元	c=10 d=2.66628 t=15370
yuan ben 	原本	c=7 d=0.609571 t=15370
yuan cheng 	远程	c=1 d=1 t=11692
yuan di 	原地	c=1 d=0.687289 t=15370
yuan gong 	员工	c=1 d=0.551563 t=15370
yuan hua 	圆滑	c=1 d=0.155673 t=15370
yuan li 	原理	c=5 d=0.000148814 t=15370
yuan shi 	原始	c=1 d=0.054204 t=15370
yuan su 	元素	c=21 d=3.1936 t=15370
yuan tou 	源头	c=1 d=1 t=12370
yuan wang 	愿望	c=1 d=1 t=12419
yuan wen jian 	源文件	c=1 d=1 t=12409
yuan yin 	原因	c=6 d=0.778801 t=15370
yuan zi 	原子	c=4 d=0.23457 t=15370
yuan zi lei 	原子类	c=1 d=0.00344787 t=15370
yuan zi xing 	原子性	c=4 d=1.03437 t=15370
yue 	月	c=6 d=4.34607 t=14293
yue deng yu 	约等于	c=1 d=1 t=14294
yue ding 	约定	c=1 d=1 t=12585
yue du qi 	阅读器	c=2 d=0.390628 t=15370
yue quan 	越权	c=1 d=0.802519 t=15370
yun chang shang 	云厂商	c=1 d=0.891366 t=15370
yun fu wu qi 	云服务器	c=9 d=0.5091 t=15370
yun pan 	云盘	c=1 d=0.000115067 t=15370
yun suan 	运算	c=1 d=0.179066 t=15370
yun suan fu 	运算符	c=2 d=1.91851 t=15366
yun wei 	运维	c=5 d=1.08253 t=15370
yun xing 	运行	c=14 d=1.96696 t=15370
yun xing wei hu 	运行维护	c=1 d=0.396531 t=15370
yun ying shang 	运营商	c=1 d=1 t=13830
zai 	再	c=7 d=0.683875 t=15370
zai 	在	c=157 d=4.37883 t=15370
zai ci 	再次	c=4 d=0.822835 t=15370
zai gei wo 	再给我	c=2 d=0.128291 t=15370
zai he 	载荷	c=1 d=1 t=13413
zai qian 	在前	c=1 d=0.226502 t=15370
zai xian 	在线	c=1 d=0.0713613 t=15370
zai yi ge 	在一个	c=1 d=0.00914087 t=15370
zai zui hou 	在最后	c=1 d=0.506617 t=15370
zan shi 	暂时	c=1 d=1 t=12055
zang du 	脏读	c=6 d=2.51089 t=15370
zao cheng 	造成	c=4 d=0.29671 t=15370
ze ren 	责任	c=1 d=0.88692 t=15370
zen me 	怎么	c=20 d=2.20138 t=15370
zen me ban 	怎么办	c=22 d=0.672968 t=15370
zen me jie jue 	怎么解决	c=1 d=1 t=13868
zen me kan 	怎么看	c=1 d=1 t=13902
zen me lai 	怎么来	c=1 d=0.878095 t=15370
zen me nong 	怎么弄	c=3 d=0.000266108 t=15370
zen me pei zi 	怎么配资	c=1 d=1 t=13051
zen me yang 	怎么样	c=5 d=0.581069 t=15370
zen me zuo 	怎么做	c=2 d=0.67368 t=15370
zeng jia 	增加	c=9 d=1.80896 t=15370
zeng liang 	增量	c=7 d=3.81282 t=15370
zeng liang mo xing 	增量模型	c=1 d=0.453845 t=15370
zhan 	占	c=2 d=0.0356966 t=15370
zhan 	站	c=2 d=0.236928 t=15370
zhan hui 	站会	c=2 d=0.0719291 t=15370
zhan ju 	占据	c=2 d=1.93239 t=15051
zhan shi 	展示	c=1 d=0.0407622 t=15370
zhan wei fu 	占位符	c=1 d=1 t=12291
zhan yong 	占用	c=1 d=0.162026 t=15370
zhan you 	占有	c=2 d=1.41291 t=15370
zhan you lv 	占有率	c=1 d=0.145148 t=15370
zhan zhe 	站着	c=1 d=0.0374406 t=15370
zhang hu 	账户	c=3 d=1.32367 t=13207
zhang jia 	涨价	c=1 d=0.239309 t=15370
zhang lang 	蟑螂	c=3 d=0.852144 t=15370
zhao 	找	c=9 d=1.26205 t=15370
zhao bu dao 	找不到	c=2 d=1.5886 t=12328
zhao dao 	找到	c=7 d=0.0962904 t=15370
zhao yi ge 	找一个	c=3 d=0.790571 t=15370
zhe 	这	c=12 d=0.56836 t=15370
zhe ba 	这把	c=1 d=0.000175127 t=15370
zhe ci 	这次	c=1 d=0.0459593 t=15370
zhe dang 	遮挡	c=1 d=0.316637 t=15370
zhe die 	折叠	c=1 d=0.0987662 t=15370
zhe gai 	遮盖	c=4 d=0.479277 t=15370
zhe gai zhu 	遮盖住	c=1 d=0.119433 t=15370
zhe ge 	这个	c=233 d=9.41541 t=15370
zhe ge hui bu hui 	这个会不会	c=1 d=0.440432 t=15370
zhe ji bu 	这几步	c=1 d=0.092089 t=15370
zhe jiang 	浙江	c=8 d=0.196912 t=15370
zhe jiang sheng jin hua shi 	浙江省金华市	c=0 d=0.011475 t=15370
zhe jiang sheng jin hua shi yong kang shi zhi ying zhen ru tang tou cun zhi ru lu 	浙江省金华市永康市芝英镇儒堂头村芝儒路	c=3 d=0.357197 t=15370
zhe jiu 	这就	c=3 d=0.763379 t=15370
zhe li 	这里	c=25 d=0.52598 t=15370
zhe li mian 	这里面	c=3 d=0.0742736 t=15370
zhe liang ge 	这两个	c=7 d=0.640824 t=15370
zhe liang zhong 	这两种	c=1 d=4.29704e-05 t=15370
zhe me 	这么	c=1 d=0.612626 t=15370
zhe me chang 	这么长	c=1 d=0.103312 t=15370
zhe me jiu 	这么久	c=1 d=0.138069 t=15370
zhe shi 	这是	c=1 d=0.285076 t=15370
zhe shi hou 	这时候	c=1 d=0.0065062 t=15370
zhe xie 	这些	c=4 d=0.00847069 t=15370
zhe yang 	这样	c=69 d=2.89651 t=15370
zhe yi ba 	这一把	c=1 d=0.000197455 t=15370
zhe yi bu 	这一步	c=1 d=0.453845 t=15370
zhe yi ge 	这一个	c=2 d=0.0992613 t=15370
zhe yi lei 	这一类	c=1 d=0.0547488 t=15370
zhen 	真	c=2 d=0.53867 t=15370
zhen 	镇	c=0 d=0.011475 t=15370
zhen de 	真的	c=2 d=0.990446 t=15370
zhen dui 	针对	c=15 d=1.05041 t=15370
zhen dui yu 	针对于	c=7 d=0.926809 t=15370
zhen que 	真确	c=1 d=0.759572 t=15370
zhen tou 	帧头	c=1 d=1 t=13418
zhen wei 	帧尾	c=3 d=2.52901 t=13420
zheng chang 	正常	c=32 d=3.65341 t=15370
zheng chang bu zheng chang 	正常不正常	c=1 d=0.99005 t=15370
zheng dui 	正对	c=1 d=0.00708341 t=15370
zheng ge 	整个	c=2 d=0.358796 t=15370
zheng hang 	整行	c=2 d=0.172045 t=15370
zheng he 	整合	c=1 d=0.0513033 t=15370
zheng li 	整理	c=2 d=0.0715023 t=15370
zheng nan ze fan 	正难则反	c=1 d=0.0428521 t=15370
zheng qiang 	争抢	c=1 d=0.00878245 t=15370
zheng que 	正确	c=10 d=2.10591 t=15370
zheng shi ban 	正式版	c=1 d=0.240508 t=15370
zheng shu 	正数	c=2 d=0.958331 t=15370
zheng shu 	证书	c=4 d=1.28021 t=13990
zheng wen 	正文	c=1 d=0.540641 t=15370
zheng zai 	正在	c=1 d=1 t=12511
zheng zha 	挣扎	c=1 d=0.19593 t=15370
zheng zhi 	争执	c=1 d=0.637628 t=15370
zhi 	值	c=38 d=1.88497 t=15370
zhi 	只	c=7 d=0.584307 t=15370
zhi 	指	c=2 d=0.158025 t=15370
zhi 	芝	c=0 d=0.011475 t=15370
zhi biao 	指标	c=1 d=0.0152985 t=15370
zhi bo 	直播	c=3 d=0.71177 t=15370
zhi bu guo 	只不过	c=1 d=0.311923 t=15370
zhi bu zhi chi 	支不支持	c=4 d=0.578926 t=15370
zhi chi 	支持	c=17 d=0.947073 t=15370
zhi chu 	指出	c=1 d=0.0306538 t=15370
zhi dao 	直到	c=6 d=0.843665 t=15370
zhi dao 	知道	c=3 d=0.814647 t=15370
zhi ding 	指定	c=3 d=0.111359 t=15370
zhi du 	只读	c=3 d=0.0428832 t=15370
zhi du qu 	只读取	c=1 d=0.353455 t=15370
zhi dui 	只对	c=1 d=0.585669 t=15370
zhi fu bao 	支付宝	c=1 d=0.123071 t=15370
zhi gei 	只给	c=1 d=0.546074 t=15370
zhi guan 	只管	c=1 d=1 t=13541
zhi he 	之和	c=2 d=0.154896 t=15370
zhi hou 	之后	c=5 d=0.913931 t=15370
zhi hui 	只会	c=4 d=0.637628 t=15370
zhi jian 	之间	c=18 d=3.30505 t=15370
zhi jie 	直接	c=23 d=1.47295 t=15370
zhi jing 	直径	c=1 d=1 t=15320
zhi jue 	直觉	c=1 d=0.00377257 t=15370
zhi lei 	之类	c=3 d=0.0198411 t=15370
zhi lian 	直连	c=1 d=0.0323869 t=15370
zhi ling 	指令	c=15 d=1.40645 t=15370
zhi ling chong pai xu 	指令重排序	c=3 d=0.313421 t=15370
zhi neng 	只能	c=13 d=0.442969 t=15370
zhi qian 	之前	c=27 d=1.81991 t=15370
zhi ru lu 	芝儒路	c=3 d=0.358302 t=15370
zhi sheng xia 	只剩下	c=1 d=0.509156 t=15370
zhi shi 	只是	c=2 d=0.451581 t=15370
zhi shi yong 	只使用	c=1 d=1 t=15062
zhi shi yong 	只是用	c=1 d=1 t=15061
zhi shuo 	只说	c=1 d=0.000349153 t=15370
zhi wai 	之外	c=1 d=0.301194 t=15370
zhi wei 	值为	c=1 d=0.162026 t=15370
zhi xiao 	知晓	c=1 d=0.261846 t=15370
zhi xing 	执行	c=75 d=5.93606 t=15370
zhi xu yao 	只需要	c=16 d=1.11033 t=15370
zhi yao 	只要	c=3 d=0.0144076 t=15370
zhi ying zhen 	芝英镇	c=2 d=0.232387 t=15370
zhi you 	只有	c=7 d=0.291123 t=15370
zhi yuan zhe 	志愿者	c=1 d=0.271173 t=15370
zhi zai 	只在	c=1 d=1 t=14814
zhi zhen 	指针	c=1 d=0.0473589 t=15370
zhong 	中	c=81 d=2.19062 t=15370
zhong 	重	c=0 d=0.0305746 t=15370
zhong da 	中大	c=0 d=0.0377192 t=15370
zhong da chang 	中大厂	c=2 d=1.03942 t=15370
zhong dian 	重点	c=5 d=0.25329 t=15370
zhong duan 	中断	c=10 d=2.78941 t=15370
zhong duan xian cheng 	中断线程	c=1 d=0.224249 t=15370
zhong guo 	中国	c=2 d=0.00514361 t=15370
zhong jian 	中间	c=3 d=0.160188 t=15370
zhong liang ji 	重量级	c=3 d=0.000196879 t=15370
zhong liang ji suo 	重量级锁	c=1 d=0.000234044 t=15370
zhong liu cheng 	重流程	c=1 d=0.307279 t=15370
zhong tu 	中途	c=1 d=0.496585 t=15370
zhong wen 	中文	c=6 d=0.110251 t=15370
zhong wen ban 	中文版	c=1 d=0.0837432 t=15370
zhong yao 	重要	c=1 d=0.0192547 t=15370
zhong yi 	中译	c=1 d=0.145876 t=15370
zhong zhi 	终止	c=4 d=3.14392 t=15370
zhou qi 	周期	c=8 d=1.18802 t=15370
zhu 	主	c=1 d=1 t=13788
zhu ce 	注册	c=4 d=2.28844e-07 t=15370
zhu ce biao 	注册表	c=2 d=1.03684 t=15370
zhu dong 	主动	c=2 d=1.91221 t=15370
zhu jian 	主键	c=2 d=1.76102 t=15370
zhu ni 	祝你	c=1 d=0.726149 t=15370
zhu ru 	注入	c=1 d=0.798516 t=15370
zhu shi 	注释	c=1 d=0.0953692 t=15370
zhu ti 	主题	c=14 d=2.91068 t=15370
zhu xian cheng 	主线程	c=3 d=1.2009 t=15370
zhu xiao 	注销	c=1 d=2.29488e-08 t=15370
zhu yao 	主要	c=20 d=1.80603 t=15370
zhu yi 	注意	c=1 d=0.180866 t=15370
zhu yi dian 	注意点	c=2 d=0.737602 t=15370
zhu yi li 	注意力	c=1 d=1 t=12044
zhua yun 	爪云	c=1 d=1 t=15312
zhuan 	转	c=1 d=0.117068 t=15370
zhuan bian wei 	转变为	c=2 d=0.060388 t=15370
zhuan fa 	转发	c=1 d=1 t=12549
zhuan huan 	转换	c=4 d=0.28015 t=15370
zhuan men 	专门	c=1 d=1 t=12121
zhuan sheng ben 	专升本	c=1 d=0.197899 t=15370
zhuan wan 	转弯	c=1 d=0.157237 t=15370
zhuan wei 	转为	c=1 d=1 t=13407
zhuan ye 	专业	c=4 d=0.412714 t=15370
zhuan ye ban 	专业版	c=3 d=8.8149e-07 t=15370
zhuan zhang 	转账	c=1 d=0.181772 t=15370
zhuang 	装	c=1 d=0.755784 t=15370
zhuang tai 	状态	c=2 d=0.522046 t=15370
zhun bei 	准备	c=1 d=0.1764 t=15370
zhuo zi 	桌子	c=1 d=0.0248475 t=15370
zi 	子	c=2 d=0.0098528 t=15370
zi 	字	c=3 d=0.40455 t=15370
zi chuan 	子串	c=3 d=0.220998 t=15370
zi ding yi 	自定义	c=3 d=1.0355e-05 t=15370
zi dong 	自动	c=16 d=0.618593 t=15370
zi dong hua 	自动化	c=13 d=0.907908 t=15370
zi dong hua ce shi 	自动化测试	c=1 d=0.0862936 t=15370
zi fu 	字符	c=8 d=0.251778 t=15370
zi fu chuan 	字符串	c=8 d=1.72358 t=15370
zi fu ji 	字符集	c=1 d=0.182684 t=15370
zi ji 	自己	c=17 d=2.02857 t=15370
zi jie liu 	字节流	c=5 d=4.11057 t=14635
zi jiu 	自救	c=1 d=1 t=13561
zi mu lu 	子目录	c=2 d=1.99005 t=12246
zi qi dong 	自启动	c=2 d=0.00559994 t=15370
zi shen 	自身	c=1 d=0.767206 t=15370
zi sheng 	滋生	c=1 d=0.00145901 t=15370
zi shu zu 	子数组	c=2 d=0.327491 t=15370
zi ti 	字体	c=2 d=1.02343 t=15370
zi wo 	自我	c=1 d=0.66034 t=15370
zi xuan 	自旋	c=2 d=4.85175e-05 t=15370
zi xuan suo 	自旋锁	c=4 d=0.0032643 t=15370
zi you 	自由	c=1 d=1 t=13694
zi you du 	自由度	c=1 d=0.0223708 t=15370
zi yu ming 	子域名	c=1 d=1 t=13982
zi yuan 	资源	c=17 d=1.50885 t=15370
zi yuan fen pei 	资源分配	c=1 d=0.628135 t=15370
zong 	总	c=1 d=0.000314354 t=15370
zong ge shu 	总个数	c=1 d=3.22419e-08 t=15370
zong he 	总和	c=4 d=2.29802 t=15370
zong he 	综合	c=1 d=0.621885 t=15370
zong he zheng ce 	综合政策	c=1 d=1 t=15256
zong jie 	总结	c=2 d=0.0468877 t=15370
zong zhi 	总之	c=2 d=0.273898 t=15370
zou 	走	c=1 d=0.489192 t=15370
zou bu yuan 	走不远	c=1 d=0.683861 t=15370
zou dao di 	走到底	c=1 d=0.304221 t=15370
zu 	组	c=1 d=0.022091 t=15370
zu cheng 	组成	c=5 d=0.900487 t=15370
zu gou 	足够	c=1 d=0.173774 t=15370
zu he 	组合	c=1 d=0.0280154 t=15370
zu jian 	组件	c=1 d=0.0953692 t=15370
zu jian 	组建	c=2 d=0.144164 t=15370
zu se 	阻塞	c=23 d=2.02219 t=15370
zu se dui lie 	阻塞队列	c=3 d=1.302 t=15370
zui 	最	c=2 d=0.860708 t=15370
zui chang 	最长	c=3 d=0.289951 t=15370
zui da 	最大	c=1 d=3.53635e-07 t=15370
zui da hang 	最大行	c=1 d=0.0376283 t=15370
zui da hua 	最大化	c=1 d=1 t=12816
zui da zhi 	最大值	c=2 d=0.261188 t=15370
zui fu za 	最复杂	c=1 d=1 t=14191
zui hao 	最好	c=2 d=0.140156 t=15370
zui hou 	最后	c=13 d=1.0054 t=15370
zui jia 	最佳	c=1 d=5.94824e-07 t=15370
zui jian dan 	最简单	c=1 d=2.30599e-06 t=15370
zui jin 	最近	c=1 d=0.142274 t=15370
zui lao 	最老	c=1 d=1.08384e-06 t=15370
zui shang fang 	最上方	c=3 d=0.990141 t=15370
zui shang mian 	最上面	c=2 d=0.125556 t=15370
zui wai ceng 	最外层	c=1 d=0.144424 t=15370
zui xin 	最新	c=4 d=0.0329436 t=15370
zui xin ban 	最新版	c=4 d=0.310592 t=15370
zui yan zhong 	最严重	c=1 d=0.279431 t=15370
zui you bian 	最右边	c=1 d=0.873716 t=15370
zui zhong 	最终	c=5 d=0.976733 t=15370
zuo 	做	c=4 d=0.375311 t=15370
zuo 	左	c=10 d=6.62347 t=15370
zuo bian 	左边	c=11 d=0.906687 t=15370
zuo bian jie 	左边界	c=8 d=4.45535 t=15370
zuo biao 	坐标	c=2 d=1.44241e-06 t=15370
zuo chu 	做出	c=1 d=0.516851 t=15370
zuo duan 	左端	c=0 d=0.0483164 t=15370
zuo duan de 	左端的	c=1 d=0.227638 t=15370
zuo duan dian 	左端点	c=2 d=0.257947 t=15370
zuo fa 	做法	c=1 d=0.00167826 t=15370
zuo jian 	左键	c=1 d=1 t=12715
zuo le 	做了	c=2 d=0.0948576 t=15370
zuo meng 	做梦	c=1 d=1 t=12398
zuo shang fang 	左上方	c=1 d=0.763379 t=15370
zuo shen me 	做什么	c=4 d=0.726149 t=15370
zuo tian 	昨天	c=3 d=0.0943845 t=15370
zuo tou fa 	做头发	c=1 d=0.19398 t=15370
zuo wei 	作为	c=1 d=0.00554422 t=15370
zuo xia jiao 	左下角	c=1 d=0.0862936 t=15370
zuo yi 	左移	c=4 d=0.762738 t=15370
zuo yong 	作用	c=3 d=0.913931 t=15370
zuo you 	左右	c=10 d=1.00874 t=15370
